Date;Bikes
2020-06-01T17:40:17.604Z;0;
2020-06-01T18:40:17.644Z;0;
2020-06-01T19:40:17.668Z;0;
2020-06-01T20:40:17.706Z;0;
2020-06-01T21:40:17.784Z;0;
2020-06-01T22:40:17.844Z;0;
2020-06-01T23:40:17.864Z;0;
2020-06-02T00:40:17.916Z;0;
2020-06-02T01:40:18.000Z;0;
2020-06-02T02:40:18.084Z;0;
2020-06-02T03:40:18.136Z;0;
2020-06-02T04:40:18.208Z;0;
2020-06-02T05:40:18.236Z;0;
2020-06-02T06:40:18.316Z;0;
2020-06-02T07:40:18.388Z;1;
2020-06-02T08:40:18.472Z;3;
2020-06-02T09:40:18.524Z;2;
2020-06-02T10:40:18.573Z;2;
2020-06-02T11:40:18.668Z;3;
2020-06-02T12:40:18.760Z;3;
2020-06-02T13:40:18.860Z;3;
2020-06-02T14:40:18.948Z;3;
2020-06-02T15:40:19.039Z;2;
2020-06-02T16:40:19.094Z;0;
2020-06-02T17:40:19.149Z;0;
2020-06-02T18:40:19.216Z;1;
2020-06-02T19:40:19.292Z;2;
2020-06-02T20:40:19.316Z;1;
2020-06-02T21:40:19.379Z;0;
2020-06-02T22:40:19.396Z;0;
2020-06-02T23:40:19.425Z;0;
2020-06-03T00:40:19.500Z;0;
2020-06-03T01:40:19.515Z;0;
2020-06-03T02:40:19.575Z;0;
2020-06-03T03:40:19.642Z;0;
2020-06-03T04:40:19.705Z;0;
2020-06-03T05:40:19.796Z;0;
2020-06-03T06:40:19.828Z;0;
2020-06-03T07:40:19.908Z;2;
2020-06-03T08:40:19.936Z;3;
2020-06-03T09:40:20.008Z;3;
2020-06-03T10:40:20.016Z;4;
2020-06-03T11:40:20.044Z;4;
2020-06-03T12:40:20.086Z;2;
2020-06-03T13:40:20.131Z;3;
2020-06-03T14:40:20.203Z;4;
2020-06-03T15:40:20.264Z;3;
2020-06-03T16:40:20.348Z;1;
2020-06-03T17:40:20.352Z;0;
2020-06-03T18:40:20.436Z;0;
2020-06-03T19:40:20.480Z;0;
2020-06-03T20:40:20.500Z;0;
2020-06-03T21:40:20.568Z;0;
2020-06-03T22:40:20.628Z;0;
2020-06-03T23:40:20.668Z;0;
2020-06-04T00:40:20.680Z;0;
2020-06-04T01:40:20.728Z;0;
2020-06-04T02:40:20.776Z;0;
2020-06-04T03:40:20.836Z;0;
2020-06-04T04:40:20.916Z;0;
2020-06-04T05:40:21.016Z;0;
2020-06-04T06:40:21.076Z;0;
2020-06-04T07:40:21.164Z;1;
2020-06-04T08:40:21.264Z;1;
2020-06-04T09:40:21.276Z;2;
2020-06-04T10:40:21.368Z;2;
2020-06-04T11:40:21.400Z;2;
2020-06-04T12:40:21.456Z;2;
2020-06-04T13:40:21.500Z;2;
2020-06-04T14:40:21.536Z;2;
2020-06-04T15:40:21.540Z;2;
2020-06-04T16:40:21.640Z;3;
2020-06-04T17:40:21.684Z;0;
2020-06-04T18:40:21.728Z;0;
2020-06-04T19:40:21.804Z;0;
2020-06-04T20:40:21.876Z;0;
2020-06-04T21:40:21.916Z;0;
2020-06-04T22:40:21.944Z;0;
2020-06-04T23:40:21.948Z;0;
